num_idade;des_sexo;des_status_associado;des_segmento;des_subsegmento;des_nivel_risco;des_assoc_desde;n_de_produtos;resposta_nps;classificacao_nps;faixa_idade;faixa_produtos;Assunto;Sentimento
41;M;INATIVO;PF;PF I;MÉDIO 1;DE 3 A 5 ANOS;1;1;DETRATORES;36-45;1-4;Crédito, Empréstimo ou Financiamento;neutro
22;M;ATIVO;PF;PF II;MÉDIO 1;DE 1 A 2 ANOS;2;0;DETRATORES;<25;1-4;Outros;neutro
37;M;ATIVO;PF;PF II;MÉDIO 2;ATÉ 12 MESES;3;3;DETRATORES;36-45;1-4;Crédito, Empréstimo ou Financiamento;negativo
35;F;ATIVO;PF;PF I;DEFAULT;DE 6 A 10 ANOS;0;0;DETRATORES;36-45;0;Disponibilidade contato;negativo
40;F;ATIVO;PF;PF II;BAIXO 2;DE 1 A 2 ANOS;4;5;DETRATORES;36-45;1-4;Funcionalidades;negativo
22;M;ATIVO;PF;PF I;BAIXO 1;DE 6 A 10 ANOS;5;0;DETRATORES;<25;5-9;Crédito, Empréstimo ou Financiamento;negativo
21;F;ATIVO;PF;PF II;MÉDIO 1;DE 3 A 5 ANOS;8;0;DETRATORES;<25;5-9;Cartão de Crédito;neutro
40;M;ATIVO;PF;PF I;MÉDIO 1;DE 1 A 2 ANOS;4;5;DETRATORES;36-45;1-4;Estrutura da Agência;positivo
18;M;ATIVO;PF;PF I;BAIXO 2;DE 3 A 5 ANOS;4;5;DETRATORES;<25;1-4;Atendimento em geral;neutro
26;M;ATIVO;PF;PF II;MÉDIO 2;DE 3 A 5 ANOS;1;6;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;positivo
34;F;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;7;4;DETRATORES;25-35;5-9;Disponibilidade contato;negativo
46;F;ATIVO;PF;PF I;ALTO 1;DE 1 A 2 ANOS;4;2;DETRATORES;46-55;1-4;Crédito, Empréstimo ou Financiamento;neutro
27;F;INATIVO;PF;PF I;ALTO 2;DE 3 A 5 ANOS;1;5;DETRATORES;25-35;1-4;Tempo ou Agilidade atendimento;positivo
23;F;ATIVO;PF;PF I;BAIXO 2;DE 6 A 10 ANOS;6;5;DETRATORES;<25;5-9;Crédito, Empréstimo ou Financiamento;negativo
35;M;ATIVO;PF;PF I;BAIXO 2;DE 11 A 15 ANOS;7;2;DETRATORES;36-45;5-9;Atendimento em geral;negativo
45;M;ATIVO;AG;Familiar;BAIXO 2;DE 3 A 5 ANOS;5;5;DETRATORES;46-55;5-9;Tempo ou Agilidade atendimento;negativo
20;F;ATIVO;PF;PF III;ALTO 2;DE 3 A 5 ANOS;12;5;DETRATORES;<25;10-14;Tempo ou Agilidade atendimento;negativo
32;F;ATIVO;AG;Familiar;BAIXO 1;DE 6 A 10 ANOS;7;2;DETRATORES;25-35;5-9;Seguros;neutro
22;F;ATIVO;PF;PF II;ALTO 1;ATÉ 12 MESES;2;5;DETRATORES;<25;1-4;Funcionalidades;negativo
35;M;ATIVO;PF;PF III;BAIXO 2;DE 6 A 10 ANOS;6;2;DETRATORES;36-45;5-9;Outros;neutro
37;M;ATIVO;PF;PF III;ALTO 2;DE 3 A 5 ANOS;4;3;DETRATORES;36-45;1-4;Atendimento em geral;neutro
35;M;INATIVO;PF;PF I;BAIXO 1;DE 11 A 15 ANOS;2;6;DETRATORES;36-45;1-4;Conta Corrente ou Poupança;negativo
34;F;ATIVO;PF;PF II;MÉDIO 2;DE 3 A 5 ANOS;2;0;DETRATORES;25-35;1-4;Conhecimento ou qualificação do atendente;negativo
24;F;ATIVO;PF;PF II;ALTO 1;ATÉ 12 MESES;1;0;DETRATORES;<25;1-4;Crédito, Empréstimo ou Financiamento;negativo
35;F;ATIVO;PF;PF II;ALTO 1;DE 6 A 10 ANOS;1;0;DETRATORES;36-45;1-4;Principalidade;negativo
34;M;ATIVO;PF;PF III;ALTO 1;DE 1 A 2 ANOS;2;0;DETRATORES;25-35;1-4;Cartão de Crédito;negativo
37;F;ATIVO;PF;PF I;MÉDIO 1;ATÉ 12 MESES;1;5;DETRATORES;36-45;1-4;Uso App;positivo
54;F;ATIVO;PF;PF I;BAIXO 2;DE 3 A 5 ANOS;4;6;DETRATORES;46-55;1-4;Outros;neutro
32;F;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;7;6;DETRATORES;25-35;5-9;Cartão de Crédito;positivo
37;M;ATIVO;PF;PF I;ALTO 1;DE 1 A 2 ANOS;3;3;DETRATORES;36-45;1-4;Crédito, Empréstimo ou Financiamento;neutro
33;M;ATIVO;PF;PF II;MÉDIO 2;ATÉ 12 MESES;6;1;DETRATORES;25-35;5-9;Funcionamento App;negativo
45;M;ATIVO;PF;PF II;BAIXO 2;ATÉ 12 MESES;3;0;DETRATORES;46-55;1-4;Taxas e Tarifas;negativo
32;F;ATIVO;PF;PF III;BAIXO 2;ATÉ 12 MESES;7;0;DETRATORES;25-35;5-9;Crédito, Empréstimo ou Financiamento;negativo
38;F;ATIVO;PF;PF III;ALTO 2;DE 1 A 2 ANOS;5;6;DETRATORES;36-45;5-9;Taxas e Tarifas;positivo
33;M;ATIVO;PF;PF II;ALTO 1;DE 1 A 2 ANOS;2;1;DETRATORES;25-35;1-4;Facilidade ou Burocracia;negativo
20;M;ATIVO;PF;PF I;BAIXO 2;DE 3 A 5 ANOS;2;0;DETRATORES;<25;1-4;Outros;negativo
46;M;ATIVO;PF;PF II;MÉDIO 2;ATÉ 12 MESES;2;6;DETRATORES;46-55;1-4;Crédito, Empréstimo ou Financiamento;positivo
29;F;ATIVO;PF;PF II;MÉDIO 2;DE 3 A 5 ANOS;5;0;DETRATORES;25-35;5-9;Funcionamento App;negativo
20;F;ATIVO;PF;PF I;ALTO 2;DE 1 A 2 ANOS;2;5;DETRATORES;<25;1-4;Cartão de Crédito;negativo
30;M;ATIVO;PF;PF II;ALTÍSSIMO;DE 3 A 5 ANOS;1;5;DETRATORES;25-35;1-4;Principalidade;negativo
24;F;ATIVO;AG;Familiar;MÉDIO 2;DE 1 A 2 ANOS;11;6;DETRATORES;<25;10-14;Atendimento em geral;neutro
38;M;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;3;2;DETRATORES;36-45;1-4;Crédito, Empréstimo ou Financiamento;neutro
38;M;ATIVO;PF;PF I;ALTO 2;DE 1 A 2 ANOS;1;2;DETRATORES;36-45;1-4;Crédito, Empréstimo ou Financiamento;positivo
32;M;INATIVO;PF;PF I;DEFAULT;DE 11 A 15 ANOS;0;0;DETRATORES;25-35;0;Outros;negativo
32;M;ATIVO;PF;PF I;ALTO 2;DE 3 A 5 ANOS;5;0;DETRATORES;25-35;5-9;Outros;neutro
36;F;ATIVO;PF;PF IV;ALTO 1;DE 1 A 2 ANOS;2;0;DETRATORES;36-45;1-4;Cordialidade;positivo
31;M;ATIVO;AG;Familiar;BAIXÍSSIMO;DE 11 A 15 ANOS;8;0;DETRATORES;25-35;5-9;Atendimento em geral;neutro
37;F;ATIVO;PF;PF III;ALTO 2;DE 1 A 2 ANOS;2;5;DETRATORES;36-45;1-4;Crédito, Empréstimo ou Financiamento;negativo
49;F;ATIVO;PF;PF III;MÉDIO 1;ATÉ 12 MESES;5;5;DETRATORES;46-55;5-9;Funcionamento App;negativo
31;M;ATIVO;PF;PF III;BAIXO 2;ATÉ 12 MESES;6;5;DETRATORES;25-35;5-9;Cordialidade;negativo
35;M;ATIVO;PF;PF III;BAIXO 1;DE 6 A 10 ANOS;7;1;DETRATORES;36-45;5-9;Tempo ou Agilidade atendimento;negativo
20;M;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;6;0;DETRATORES;<25;5-9;Crédito, Empréstimo ou Financiamento;neutro
34;M;ATIVO;PF;PF I;ALTO 1;DE 3 A 5 ANOS;1;6;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;negativo
29;M;ATIVO;PF;PF I;MÉDIO 2;DE 3 A 5 ANOS;1;0;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;neutro
44;F;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;7;5;DETRATORES;36-45;5-9;Tempo ou Agilidade atendimento;negativo
36;F;ATIVO;PF;PF I;ALTO 1;ATÉ 12 MESES;5;0;DETRATORES;36-45;5-9;Outros;negativo
31;M;ATIVO;PF;PF II;MÉDIO 1;DE 3 A 5 ANOS;4;3;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;negativo
21;F;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;3;0;DETRATORES;<25;1-4;Cartão de Crédito;neutro
30;F;ATIVO;PF;PF I;ALTO 1;DE 11 A 15 ANOS;2;5;DETRATORES;25-35;1-4;Troca de gerente;negativo
29;F;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;2;3;DETRATORES;25-35;1-4;Benefícios da Cooperativa;positivo
22;F;ATIVO;PF;PF I;ALTO 1;DE 1 A 2 ANOS;1;0;DETRATORES;<25;1-4;Cartão de Crédito;neutro
25;F;ATIVO;PF;PF II;MÉDIO 2;ATÉ 12 MESES;3;0;DETRATORES;25-35;1-4;Taxas e Tarifas;negativo
30;M;ATIVO;PF;PF I;ALTO 1;ATÉ 12 MESES;4;5;DETRATORES;25-35;1-4;Cartão de Crédito;neutro
29;M;INATIVO;PF;PF I;ALTÍSSIMO;DE 11 A 15 ANOS;0;0;DETRATORES;25-35;0;Crédito, Empréstimo ou Financiamento;neutro
29;M;ATIVO;PF;PF I;BAIXO 2;DE 11 A 15 ANOS;0;5;DETRATORES;25-35;0;Funcionamento App;negativo
29;M;ATIVO;PF;PF I;ALTO 2;DE 3 A 5 ANOS;4;6;DETRATORES;25-35;1-4;Atendimento em geral;neutro
22;F;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;7;5;DETRATORES;<25;5-9;Tempo ou Agilidade atendimento;positivo
36;F;ATIVO;PF;PF II;MÉDIO 2;ATÉ 12 MESES;0;0;DETRATORES;36-45;0;Benefícios;negativo
28;F;ATIVO;PF;PF I;MÉDIO 1;ATÉ 12 MESES;6;0;DETRATORES;25-35;5-9;Cartão de Crédito;neutro
29;M;ATIVO;PF;PF I;ALTO 1;DE 6 A 10 ANOS;1;5;DETRATORES;25-35;1-4;Facilidade ou Burocracia;negativo
26;F;ATIVO;AG;Familiar;BAIXO 1;DE 6 A 10 ANOS;9;5;DETRATORES;25-35;5-9;Cordialidade;negativo
23;M;ATIVO;PF;PF I;BAIXO 2;DE 1 A 2 ANOS;3;5;DETRATORES;<25;1-4;Cartão de Crédito;positivo
29;F;ATIVO;PF;PF I;DEFAULT;DE 6 A 10 ANOS;2;5;DETRATORES;25-35;1-4;Taxas e Tarifas;negativo
32;M;ATIVO;PF;PF I;MÉDIO 2;DE 3 A 5 ANOS;4;5;DETRATORES;25-35;1-4;Facilidade ou Burocracia;positivo
27;M;ATIVO;PF;PF I;ALTÍSSIMO;DE 3 A 5 ANOS;3;5;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;negativo
27;M;ATIVO;PF;PF I;ALTÍSSIMO;DE 3 A 5 ANOS;0;5;DETRATORES;25-35;0;Outros;neutro
27;F;ATIVO;PF;PF II;BAIXO 1;DE 6 A 10 ANOS;9;1;DETRATORES;25-35;5-9;Personalização e Proximidade;positivo
54;M;INATIVO;PF;PF II;MÉDIO 1;DE 6 A 10 ANOS;0;0;DETRATORES;46-55;0;Retorno solicitações;neutro
18;F;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;5;2;DETRATORES;<25;5-9;Funcionamento App;negativo
28;M;ATIVO;PF;PF II;ALTÍSSIMO;ATÉ 12 MESES;3;6;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;positivo
25;M;ATIVO;PF;PF II;BAIXO 2;DE 3 A 5 ANOS;2;2;DETRATORES;25-35;1-4;Benefícios;negativo
32;M;ATIVO;PF;PF I;BAIXO 2;DE 1 A 2 ANOS;4;5;DETRATORES;25-35;1-4;Cartão de Crédito;negativo
27;M;ATIVO;PF;PF I;BAIXO 1;DE 3 A 5 ANOS;4;6;DETRATORES;25-35;1-4;Taxas e Tarifas;negativo
55;M;ATIVO;PF;PF II;ALTO 1;DE 1 A 2 ANOS;2;5;DETRATORES;56-70;1-4;Outros;negativo
22;M;ATIVO;PF;PF II;ALTO 2;DE 3 A 5 ANOS;1;5;DETRATORES;<25;1-4;Crédito, Empréstimo ou Financiamento;neutro
32;F;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;0;0;DETRATORES;25-35;0;Funcionamento App;negativo
22;M;ATIVO;PF;PF III;MÉDIO 2;ATÉ 12 MESES;4;5;DETRATORES;<25;1-4;Cartão de Crédito;negativo
48;M;ATIVO;PF;PF II;ALTO 2;DE 3 A 5 ANOS;2;2;DETRATORES;46-55;1-4;Facilidade ou Burocracia;negativo
34;F;INATIVO;PF;PF II;DEFAULT;DE 11 A 15 ANOS;0;3;DETRATORES;25-35;0;Retorno solicitações;negativo
25;F;ATIVO;PF;PF II;MÉDIO 1;DE 6 A 10 ANOS;5;5;DETRATORES;25-35;5-9;Crédito, Empréstimo ou Financiamento;negativo
53;M;ATIVO;PF;PF II;ALTÍSSIMO;DE 6 A 10 ANOS;1;5;DETRATORES;46-55;1-4;Crédito, Empréstimo ou Financiamento;negativo
55;F;ATIVO;PF;PF III;BAIXO 1;DE 3 A 5 ANOS;4;5;DETRATORES;56-70;1-4;Crédito, Empréstimo ou Financiamento;positivo
29;M;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;3;6;DETRATORES;25-35;1-4;Funcionamento App;negativo
21;F;ATIVO;PF;PF I;ALTO 1;DE 1 A 2 ANOS;3;5;DETRATORES;<25;1-4;Uso App;neutro
23;F;ATIVO;PF;PF III;MÉDIO 1;DE 3 A 5 ANOS;0;0;DETRATORES;<25;0;Disponibilidade contato;negativo
23;F;ATIVO;AG;Familiar;BAIXO 1;ATÉ 12 MESES;4;0;DETRATORES;<25;1-4;Disponibilidade contato;negativo
31;M;ATIVO;PF;PF II;ALTO 1;ATÉ 12 MESES;2;3;DETRATORES;25-35;1-4;Benefícios da Cooperativa;positivo
23;M;ATIVO;PF;PF I;MÉDIO 1;DE 1 A 2 ANOS;6;5;DETRATORES;<25;5-9;Outros;neutro
34;M;ATIVO;PF;PF II;BAIXO 2;DE 1 A 2 ANOS;6;6;DETRATORES;25-35;5-9;Rentabilidade;neutro
28;F;ATIVO;PF;PF I;ALTÍSSIMO;ATÉ 12 MESES;2;6;DETRATORES;25-35;1-4;Funcionamento App;negativo
23;F;ATIVO;PF;PF I;DEFAULT;DE 3 A 5 ANOS;2;0;DETRATORES;<25;1-4;Atendimento em geral;neutro
27;M;ATIVO;PF;PF II;ALTO 1;ATÉ 12 MESES;5;5;DETRATORES;25-35;5-9;Crédito, Empréstimo ou Financiamento;positivo
30;M;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;3;2;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;negativo
28;M;ATIVO;PF;PF I;ALTO 1;DE 1 A 2 ANOS;3;5;DETRATORES;25-35;1-4;Cartão de Crédito;negativo
18;M;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;4;5;DETRATORES;<25;1-4;Cartão de Crédito;positivo
20;M;ATIVO;PF;PF III;MÉDIO 2;ATÉ 12 MESES;1;3;DETRATORES;<25;1-4;Atendimento em geral;neutro
29;F;ATIVO;PF;PF I;MÉDIO 1;ATÉ 12 MESES;1;0;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;neutro
33;M;ATIVO;PF;PF II;ALTO 2;DE 1 A 2 ANOS;8;2;DETRATORES;25-35;5-9;Outros;neutro
32;F;ATIVO;PF;PF II;BAIXO 2;DE 1 A 2 ANOS;4;0;DETRATORES;25-35;1-4;Outros;neutro
53;M;ATIVO;PF;PF II;BAIXO 2;DE 11 A 15 ANOS;8;6;DETRATORES;46-55;5-9;Outros;neutro
60;M;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;1;3;DETRATORES;56-70;1-4;Crédito, Empréstimo ou Financiamento;negativo
20;M;ATIVO;PF;PF I;ALTO 2;ATÉ 12 MESES;3;6;DETRATORES;<25;1-4;Crédito, Empréstimo ou Financiamento;negativo
54;M;ATIVO;PF;PF III;ALTO 2;ATÉ 12 MESES;1;2;DETRATORES;46-55;1-4;Crédito, Empréstimo ou Financiamento;negativo
69;F;ATIVO;PF;PF III;BAIXO 1;DE 11 A 15 ANOS;4;5;DETRATORES;56-70;1-4;Crédito, Empréstimo ou Financiamento;neutro
20;F;ATIVO;PF;PF I;ALTO 1;ATÉ 12 MESES;2;6;DETRATORES;<25;1-4;Cartão de Crédito;neutro
25;F;ATIVO;PF;PF II;ALTÍSSIMO;ATÉ 12 MESES;3;2;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;neutro
23;F;ATIVO;PF;PF I;ALTO 1;ATÉ 12 MESES;1;0;DETRATORES;<25;1-4;Cartão de Crédito;neutro
27;M;ATIVO;PF;PF II;ALTO 2;ATÉ 12 MESES;3;0;DETRATORES;25-35;1-4;Confiabilidade da Coop;positivo
26;M;ATIVO;PF;PF I;;ATÉ 12 MESES;1;2;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;neutro
70;F;ATIVO;PF;PF II;BAIXO 2;ATÉ 12 MESES;2;0;DETRATORES;70+;1-4;Crédito, Empréstimo ou Financiamento;neutro
65;M;ATIVO;PF;PF III;BAIXO 1;DE 6 A 10 ANOS;2;0;DETRATORES;56-70;1-4;Facilidade ou Burocracia;negativo
66;M;ATIVO;PF;PF IV;MÉDIO 2;DE 11 A 15 ANOS;8;5;DETRATORES;56-70;5-9;Tempo ou Agilidade atendimento;negativo
63;M;ATIVO;PF;PF IV;MÉDIO 1;DE 11 A 15 ANOS;7;3;DETRATORES;56-70;5-9;Estrutura da Agência;negativo
45;M;ATIVO;PF;PF IV;DEFAULT;DE 3 A 5 ANOS;4;5;DETRATORES;46-55;1-4;Facilidade ou Burocracia;negativo
43;M;ATIVO;PF;PF III;ALTO 1;ATÉ 12 MESES;4;0;DETRATORES;36-45;1-4;Crédito, Empréstimo ou Financiamento;neutro
43;F;INATIVO;PF;PF II;ALTO 2;DE 6 A 10 ANOS;1;5;DETRATORES;36-45;1-4;Conta Corrente ou Poupança;negativo
63;M;ATIVO;PF;PF IV;BAIXÍSSIMO;DE 6 A 10 ANOS;9;2;DETRATORES;56-70;5-9;Taxas e Tarifas;negativo
63;M;ATIVO;AG;Grande Produtor;BAIXO 2;ATÉ 12 MESES;3;5;DETRATORES;56-70;1-4;Tempo ou Agilidade atendimento;negativo
47;F;ATIVO;PF;PF IV;BAIXÍSSIMO;DE 3 A 5 ANOS;6;0;DETRATORES;46-55;5-9;Cartão de Crédito;negativo
43;F;ATIVO;PF;PF II;BAIXO 1;DE 6 A 10 ANOS;6;4;DETRATORES;36-45;5-9;Atendimento em geral;negativo
49;F;ATIVO;PF;PF III;ALTO 1;ATÉ 12 MESES;3;3;DETRATORES;46-55;1-4;Crédito, Empréstimo ou Financiamento;negativo
53;M;ATIVO;PF;PF II;BAIXÍSSIMO;DE 3 A 5 ANOS;3;5;DETRATORES;46-55;1-4;Atendimento em geral;neutro
48;F;INATIVO;PF;PF I;ALTO 2;DE 3 A 5 ANOS;0;0;DETRATORES;46-55;0;Crédito, Empréstimo ou Financiamento;positivo
52;F;ATIVO;PF;PF II;BAIXO 2;DE 1 A 2 ANOS;8;1;DETRATORES;46-55;5-9;Seguros;negativo
56;M;ATIVO;PF;PF III;MÉDIO 1;DE 1 A 2 ANOS;6;5;DETRATORES;56-70;5-9;Cartão de Crédito;negativo
69;M;ATIVO;PF;PF I;BAIXO 1;ATÉ 12 MESES;2;5;DETRATORES;56-70;1-4;Conta Corrente ou Poupança;neutro
70;M;ATIVO;AG;Familiar;BAIXÍSSIMO;DE 6 A 10 ANOS;6;2;DETRATORES;70+;5-9;Outros;neutro
42;F;ATIVO;PF;PF II;MÉDIO 2;DE 3 A 5 ANOS;4;5;DETRATORES;36-45;1-4;Cartão de Crédito;negativo
42;M;ATIVO;PF;PF II;ALTO 1;ATÉ 12 MESES;2;4;DETRATORES;36-45;1-4;Crédito, Empréstimo ou Financiamento;neutro
42;M;ATIVO;PF;PF I;ALTO 1;ATÉ 12 MESES;2;1;DETRATORES;36-45;1-4;Conta Corrente ou Poupança;negativo
41;M;ATIVO;AG;Familiar;BAIXO 1;DE 1 A 2 ANOS;6;5;DETRATORES;36-45;5-9;Benefícios da Cooperativa;positivo
42;F;ATIVO;PF;PF IV;BAIXO 1;DE 6 A 10 ANOS;5;5;DETRATORES;36-45;5-9;Troca de gerente;negativo
42;M;ATIVO;PF;PF III;BAIXO 1;DE 3 A 5 ANOS;5;5;DETRATORES;36-45;5-9;Confiabilidade da Coop;positivo
40;M;ATIVO;PF;PF III;MÉDIO 2;ATÉ 12 MESES;7;4;DETRATORES;36-45;5-9;Atendimento em geral;neutro
74;M;ATIVO;PF;PF III;BAIXO 2;A PARTIR DE 15 ANOS;4;6;DETRATORES;70+;1-4;Tempo ou Agilidade atendimento;positivo
40;M;ATIVO;PF;PF II;MÉDIO 2;ATÉ 12 MESES;1;5;DETRATORES;36-45;1-4;Cartão de Crédito;negativo
74;F;ATIVO;AG;Familiar;BAIXÍSSIMO;A PARTIR DE 15 ANOS;4;0;DETRATORES;70+;1-4;Retorno solicitações;negativo
39;M;ATIVO;PF;PF III;ALTO 2;ATÉ 12 MESES;1;5;DETRATORES;36-45;1-4;Outros;neutro
58;M;ATIVO;PF;PF III;BAIXÍSSIMO;DE 3 A 5 ANOS;6;0;DETRATORES;56-70;5-9;Cordialidade;negativo
40;M;ATIVO;PF;PF II;BAIXO 2;ATÉ 12 MESES;5;5;DETRATORES;36-45;5-9;Funcionalidades;negativo
55;M;ATIVO;PF;PF III;ALTÍSSIMO;DE 6 A 10 ANOS;6;5;DETRATORES;56-70;5-9;Crédito, Empréstimo ou Financiamento;neutro
63;M;ATIVO;PF;PF III;ALTO 2;DE 6 A 10 ANOS;4;0;DETRATORES;56-70;1-4;Crédito, Empréstimo ou Financiamento;negativo
39;F;ATIVO;PF;PF I;MÉDIO 2;DE 3 A 5 ANOS;2;3;DETRATORES;36-45;1-4;Taxas e Tarifas;negativo
59;M;ATIVO;AG;Médio Produtor;DEFAULT;DE 6 A 10 ANOS;4;0;DETRATORES;56-70;1-4;Outros;negativo
58;M;ATIVO;PF;PF IV;BAIXO 2;ATÉ 12 MESES;4;5;DETRATORES;56-70;1-4;Tempo ou Agilidade atendimento;negativo
64;M;ATIVO;PF;PF II;BAIXO 2;DE 1 A 2 ANOS;6;6;DETRATORES;56-70;5-9;Satisfação geral;neutro
38;M;ATIVO;PF;PF III;ALTÍSSIMO;DE 3 A 5 ANOS;7;3;DETRATORES;36-45;5-9;Cartão de Crédito;negativo
23;M;ATIVO;PF;PF I;MÉDIO 2;DE 3 A 5 ANOS;5;6;DETRATORES;<25;5-9;Funcionalidades;positivo
60;M;ATIVO;PF;PF III;MÉDIO 1;DE 3 A 5 ANOS;2;5;DETRATORES;56-70;1-4;Cartão de Crédito;neutro
37;M;ATIVO;PF;PF III;BAIXO 2;ATÉ 12 MESES;4;2;DETRATORES;36-45;1-4;Outros;negativo
34;M;ATIVO;PF;PF III;MÉDIO 2;DE 3 A 5 ANOS;0;3;DETRATORES;25-35;0;Personalização e Proximidade;positivo
38;M;ATIVO;PF;PF III;MÉDIO 2;ATÉ 12 MESES;3;6;DETRATORES;36-45;1-4;Crédito, Empréstimo ou Financiamento;neutro
37;F;ATIVO;PF;PF IV;BAIXO 2;DE 1 A 2 ANOS;4;5;DETRATORES;36-45;1-4;Personalização e Proximidade;neutro
38;F;ATIVO;PF;PF I;ALTO 1;DE 1 A 2 ANOS;6;3;DETRATORES;36-45;5-9;Taxas e Tarifas;negativo
56;F;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;5;0;DETRATORES;56-70;5-9;Conta Corrente ou Poupança;neutro
35;M;ATIVO;PF;PF III;MÉDIO 2;ATÉ 12 MESES;5;5;DETRATORES;36-45;5-9;Crédito, Empréstimo ou Financiamento;neutro
66;M;ATIVO;PF;PF IV;BAIXO 1;ATÉ 12 MESES;5;4;DETRATORES;56-70;5-9;Conta Corrente ou Poupança;negativo
36;F;ATIVO;PF;PF II;;ATÉ 12 MESES;3;3;DETRATORES;36-45;1-4;Taxas e Tarifas;negativo
37;M;ATIVO;PF;PF IV;MÉDIO 1;DE 1 A 2 ANOS;3;1;DETRATORES;36-45;1-4;Outros;neutro
58;M;ATIVO;PF;PF II;MÉDIO 2;DE 11 A 15 ANOS;8;5;DETRATORES;56-70;5-9;Cartão de Crédito;negativo
37;F;ATIVO;PF;PF III;BAIXO 2;DE 1 A 2 ANOS;6;6;DETRATORES;36-45;5-9;Tempo ou Agilidade atendimento;positivo
35;M;ATIVO;PF;PF III;ALTO 2;DE 6 A 10 ANOS;3;3;DETRATORES;36-45;1-4;Troca de gerente;negativo
35;M;ATIVO;PF;PF IV;BAIXO 2;ATÉ 12 MESES;4;5;DETRATORES;36-45;1-4;Troca de gerente;negativo
62;F;ATIVO;AG;Familiar;BAIXO 1;A PARTIR DE 15 ANOS;0;0;DETRATORES;56-70;0;Cordialidade;positivo
58;M;ATIVO;PF;PF III;BAIXO 1;DE 3 A 5 ANOS;6;5;DETRATORES;56-70;5-9;Tempo ou Agilidade atendimento;negativo
64;F;ATIVO;PF;PF I;BAIXO 2;ATÉ 12 MESES;0;0;DETRATORES;56-70;0;Outros;negativo
35;M;ATIVO;PF;PF II;MÉDIO 2;DE 11 A 15 ANOS;6;1;DETRATORES;36-45;5-9;Confiabilidade da Coop;positivo
33;M;ATIVO;PF;PF II;MÉDIO 1;DE 3 A 5 ANOS;2;0;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;positivo
50;F;ATIVO;PF;PF II;MÉDIO 1;DE 1 A 2 ANOS;6;2;DETRATORES;46-55;5-9;Benefícios da Cooperativa;positivo
30;F;ATIVO;PF;PF II;MÉDIO 2;ATÉ 12 MESES;2;5;DETRATORES;25-35;1-4;Taxas e Tarifas;negativo
54;M;ATIVO;PF;PF III;ALTO 2;ATÉ 12 MESES;1;2;DETRATORES;46-55;1-4;Crédito, Empréstimo ou Financiamento;neutro
52;M;ATIVO;PF;PF II;MÉDIO 2;DE 1 A 2 ANOS;2;0;DETRATORES;46-55;1-4;Cordialidade;negativo
19;F;ATIVO;PF;PF I;BAIXO 2;ATÉ 12 MESES;3;0;DETRATORES;<25;1-4;Retorno solicitações;negativo
30;M;ATIVO;PF;PF I;ALTÍSSIMO;ATÉ 12 MESES;0;5;DETRATORES;25-35;0;Facilidade ou Burocracia;positivo
60;M;ATIVO;AG;Familiar;ALTO 2;DE 1 A 2 ANOS;6;6;DETRATORES;56-70;5-9;Facilidade ou Burocracia;positivo
28;F;ATIVO;PF;PF III;BAIXO 1;ATÉ 12 MESES;5;4;DETRATORES;25-35;5-9;Atendimento em geral;neutro
26;M;ATIVO;PF;PF I;MÉDIO 2;DE 3 A 5 ANOS;2;5;DETRATORES;25-35;1-4;Disponibilidade contato;negativo
30;M;INATIVO;PF;PF I;DEFAULT;DE 6 A 10 ANOS;0;3;DETRATORES;25-35;0;Conta Corrente ou Poupança;negativo
59;F;ATIVO;PF;PF IV;MÉDIO 1;A PARTIR DE 15 ANOS;4;5;DETRATORES;56-70;1-4;Personalização e Proximidade;negativo
